GEO_ID,NAME,S2407_C01_002E
47001,"Anderson County, Tennessee",221
47003,"Bedford County, Tennessee",675
47005,"Benton County, Tennessee",75
47007,"Bledsoe County, Tennessee",621
47009,"Blount County, Tennessee",462
47011,"Bradley County, Tennessee",326
47013,"Campbell County, Tennessee",292
47015,"Cannon County, Tennessee",226
47017,"Carroll County, Tennessee",290
47019,"Carter County, Tennessee",267
47021,"Cheatham County, Tennessee",225
47023,"Chester County, Tennessee",113
47025,"Claiborne County, Tennessee",458
47027,"Clay County, Tennessee",61
47029,"Cocke County, Tennessee",90
47031,"Coffee County, Tennessee",473
47033,"Crockett County, Tennessee",307
47035,"Cumberland County, Tennessee",839
47037,"Davidson County, Tennessee",845
47039,"Decatur County, Tennessee",181
47041,"DeKalb County, Tennessee",184
47043,"Dickson County, Tennessee",170
47045,"Dyer County, Tennessee",125
47047,"Fayette County, Tennessee",330
47049,"Fentress County, Tennessee",460
47051,"Franklin County, Tennessee",356
47053,"Gibson County, Tennessee",396
47055,"Giles County, Tennessee",346
47057,"Grainger County, Tennessee",426
47059,"Greene County, Tennessee",546
47061,"Grundy County, Tennessee",324
47063,"Hamblen County, Tennessee",119
47065,"Hamilton County, Tennessee",429
47067,"Hancock County, Tennessee",104
47069,"Hardeman County, Tennessee",159
47071,"Hardin County, Tennessee",181
47073,"Hawkins County, Tennessee",246
47075,"Haywood County, Tennessee",217
47077,"Henderson County, Tennessee",220
47079,"Henry County, Tennessee",470
47081,"Hickman County, Tennessee",277
47083,"Houston County, Tennessee",54
47085,"Humphreys County, Tennessee",137
47087,"Jackson County, Tennessee",153
47089,"Jefferson County, Tennessee",494
47091,"Johnson County, Tennessee",221
47093,"Knox County, Tennessee",1043
47095,"Lake County, Tennessee",124
47097,"Lauderdale County, Tennessee",240
47099,"Lawrence County, Tennessee",365
47101,"Lewis County, Tennessee",97
47103,"Lincoln County, Tennessee",348
47105,"Loudon County, Tennessee",453
47107,"McMinn County, Tennessee",325
47109,"McNairy County, Tennessee",236
47111,"Macon County, Tennessee",345
47113,"Madison County, Tennessee",295
47115,"Marion County, Tennessee",215
47117,"Marshall County, Tennessee",190
47119,"Maury County, Tennessee",261
47121,"Meigs County, Tennessee",110
47123,"Monroe County, Tennessee",245
47125,"Montgomery County, Tennessee",410
47127,"Moore County, Tennessee",58
47129,"Morgan County, Tennessee",208
47131,"Obion County, Tennessee",352
47133,"Overton County, Tennessee",352
47135,"Perry County, Tennessee",91
47137,"Pickett County, Tennessee",167
47139,"Polk County, Tennessee",268
47141,"Putnam County, Tennessee",218
47143,"Rhea County, Tennessee",284
47145,"Roane County, Tennessee",107
47147,"Robertson County, Tennessee",844
47149,"Rutherford County, Tennessee",708
47151,"Scott County, Tennessee",171
47153,"Sequatchie County, Tennessee",149
47155,"Sevier County, Tennessee",356
47157,"Shelby County, Tennessee",948
47159,"Smith County, Tennessee",211
47161,"Stewart County, Tennessee",125
47163,"Sullivan County, Tennessee",607
47165,"Sumner County, Tennessee",602
47167,"Tipton County, Tennessee",248
47169,"Trousdale County, Tennessee",157
47171,"Unicoi County, Tennessee",140
47173,"Union County, Tennessee",120
47175,"Van Buren County, Tennessee",103
47177,"Warren County, Tennessee",757
47179,"Washington County, Tennessee",509
47181,"Wayne County, Tennessee",279
47183,"Weakley County, Tennessee",550
47185,"White County, Tennessee",229
47187,"Williamson County, Tennessee",617
47189,"Wilson County, Tennessee",330
